workflow_ID;step_type;step_order;step_name;completion_time
7PurchaseInvoice;Data assignment;228;Document Lines ;02/03/2026 17:45:49
7PurchaseInvoice;Condition;229;Check if End of Line;02/03/2026 17:45:49
7PurchaseInvoice;Data assignment;230;Update Line Items;02/03/2026 17:45:49
7PurchaseInvoice;Data assignment;231;Assign Data to Line;02/03/2026 17:45:49
7PurchaseInvoice;Condition;232;Mod 45  ;02/03/2026 17:45:49
7PurchaseInvoice;Condition;233;Check if End of Line;02/03/2026 17:45:49
7PurchaseInvoice;Condition;234;Check Sum of all lines vs Document Total;02/03/2026 17:45:49
7PurchaseInvoice;Data assignment;235;Assign Document error;02/03/2026 17:45:49
7PurchaseInvoice;Condition;236;Check Error ;02/03/2026 17:45:49
7PurchaseInvoice;Web service;237;Submit Inv Data;02/03/2026 17:45:49
7PurchaseInvoice;Condition;238;Check if Success;02/03/2026 17:45:49
7PurchaseInvoice;Data assignment;239;Assign Webservice Call Data Back to Document;02/03/2026 17:45:49
7PurchaseInvoice;Data assignment;240;Assign PO Status;02/03/2026 17:45:49
7PurchaseInvoice;Condition;241;Check Delivery Note;02/03/2026 17:45:49
